GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebAndCloud,foo,CountingTR,120,0,4,0,26,0,5,0,3,0
WebAndCloud,foo,PetitionEndpoint,1278,0,40,0,234,0,37,0,17,0
WebAndCloud,foo,PetitionQuery,149,0,4,0,26,0,4,0,2,0
WebAndCloud,foo,PetitionInitPlus,389,0,12,0,63,0,8,0,2,0
WebAndCloud,foo,CountingSh.new Runnable() {...},103,0,4,0,19,0,4,0,2,0
WebAndCloud,foo,CountingSh,144,0,8,0,28,0,6,0,2,0
WebAndCloud,foo,UsersServlet,52,0,2,0,13,0,3,0,2,0
WebAndCloud,foo,Counting.new Runnable() {...},73,0,2,0,13,0,3,0,2,0
WebAndCloud,foo,PetitionServlet,139,0,6,0,23,0,5,0,2,0
WebAndCloud,foo,PetitionInit,382,0,10,0,62,0,7,0,2,0
WebAndCloud,foo,PetitionRemoveAll,156,0,6,0,27,0,5,0,2,0
WebAndCloud,foo,PetitionItem,42,0,0,0,14,0,1,0,1,0
WebAndCloud,foo,RandomDate,140,0,4,0,18,0,6,0,4,0
WebAndCloud,foo,HelloAppEngine,0,87,0,0,0,12,0,3,0,3
WebAndCloud,foo,Counting,117,0,4,0,25,0,4,0,2,0
WebAndCloud,foo,PetitionSigned,109,0,6,0,20,0,5,0,2,0
WebAndCloud,foo,CountingTR.new Runnable() {...},103,0,4,0,22,0,4,0,2,0
